No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
42,Month,九月 ,十月 ,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
108,Week,星期五,星期六,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
53,Month,五月,三月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
99,Week,星期三 ,星期五,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
57,Month,六月,三月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
21,Month,十月 ,十一月 ,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
46,Month,八月,六月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
43,Month,十月 ,七月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
111,Week,星期一,星期三 ,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
18,Month,九月 ,十二月,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
114,Week,星期四,星期五,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
65,Month,七月,五月,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
59,Month,五月,四月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
57,Month,三月,二月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
39,Month,九月 ,十一月 ,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
102,Week,星期六,星期日,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
61,Month,十月 ,七月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
126,Week,星期五,星期二,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
84,Month,八月,七月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
70,Month,十月 ,七月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
4,Month,四月,六月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
29,Month,五月,九月 ,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
55,Month,四月,一月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
25,Month,一月,五月,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
