No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
79,Month,November ,September ,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
76,Month,November ,October ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
33,Month,November ,December,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
63,Month,November ,July,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
42,Month,September ,June,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
11,Month,January,March,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
31,Month,July,November ,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
8,Month,August,December,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
149,Week,Friday,Thursday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
32,Month,May,August,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
47,Month,May,February,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
55,Month,July,May,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
51,Month,July,March,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
136,Week,Saturday,Friday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
30,Month,March,June,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
15,Month,July,November ,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
43,Month,May,March,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
61,Month,July,June,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
38,Month,October ,June,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
107,Week,Thursday,Friday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
38,Month,May,June,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
12,Month,February,April,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
143,Week,Sunday,Friday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
47,Month,September ,July,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
64,Month,April,January,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
57,Month,May,January,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
58,Month,October ,August,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
36,Month,August,April,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
50,Month,July,June,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
3,Month,March,May,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
50,Month,June,February,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
52,Month,August,April,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
69,Month,November ,September ,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
106,Week,Wednesday ,Friday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
107,Week,Thursday,Sunday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
128,Week,Sunday,Thursday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
46,Month,March,February,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
47,Month,November ,July,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
122,Week,Friday,Saturday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
43,Month,July,March,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
122,Week,Friday,Sunday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
52,Month,October ,July,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
105,Week,Tuesday,Friday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
118,Week,Monday,Wednesday ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
32,Month,October ,November ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
119,Week,Tuesday,Thursday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
68,Month,March,February,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
9,Month,September ,October ,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
127,Week,Thursday,Wednesday ,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
133,Week,Friday,Tuesday,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
