,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
181,3,Month,March,June,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
371,114,Week,Thursday,Saturday,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
387,132,Week,Wednesday ,Monday,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
235,56,Month,May,February,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
108,35,Month,May,July,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
100,2,Month,February,April,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
227,67,Month,July,April,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
355,141,Week,Thursday,Wednesday ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
77,79,Month,March,February,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
199,28,Month,January,April,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
396,149,Week,Saturday,Thursday,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
367,100,Week,Thursday,Saturday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
419,135,Week,Sunday,Thursday,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
395,139,Week,Wednesday ,Monday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
200,29,Month,February,May,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
393,142,Week,Saturday,Thursday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
414,111,Week,Monday,Thursday,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
109,27,Month,July,September ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
339,138,Week,Monday,Sunday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
1,3,Month,March,April,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
44,49,Month,June,May,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
425,147,Week,Friday,Tuesday,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
409,121,Week,Thursday,Sunday,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
22,41,Month,August,September ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
99,20,Month,October ,December,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
265,18,Month,February,June,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
205,39,Month,June,March,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
153,74,Month,June,April,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
307,106,Week,Wednesday ,Thursday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
80,73,Month,August,July,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
343,133,Week,Wednesday ,Tuesday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
417,125,Week,Thursday,Monday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
7,16,Month,May,June,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
17,6,Month,June,July,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
247,1,Month,January,May,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
267,17,Month,January,May,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
340,132,Week,Tuesday,Monday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
55,48,Month,May,April,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
66,74,Month,September ,August,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
119,22,Month,February,April,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
281,44,Month,August,April,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
374,112,Week,Tuesday,Thursday,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
182,15,Month,June,September ,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
51,60,Month,June,May,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
187,33,Month,June,September ,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
351,152,Week,Monday,Tuesday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
321,120,Week,Wednesday ,Thursday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
364,98,Week,Tuesday,Thursday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
39,27,Month,May,June,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
241,3,Month,March,July,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
