,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
181,3,Month,三月,六月,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
371,114,Week,星期四,星期六,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
387,132,Week,星期三 ,星期一,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
235,56,Month,五月,二月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
108,35,Month,五月,七月,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
100,2,Month,二月,四月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
227,67,Month,七月,四月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
355,141,Week,星期四,星期三 ,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
77,79,Month,三月,二月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
199,28,Month,一月,四月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
396,149,Week,星期六,星期四,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
367,100,Week,星期四,星期六,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
419,135,Week,星期日,星期四,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
395,139,Week,星期三 ,星期一,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
200,29,Month,二月,五月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
393,142,Week,星期六,星期四,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
414,111,Week,星期一,星期四,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
109,27,Month,七月,九月 ,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
339,138,Week,星期一,星期日,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
1,3,Month,三月,四月,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
44,49,Month,六月,五月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
425,147,Week,星期五,星期二,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
409,121,Week,星期四,星期日,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
22,41,Month,八月,九月 ,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
99,20,Month,十月 ,十二月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
265,18,Month,二月,六月,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
205,39,Month,六月,三月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
153,74,Month,六月,四月,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
307,106,Week,星期三 ,星期四,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
80,73,Month,八月,七月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
343,133,Week,星期三 ,星期二,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
417,125,Week,星期四,星期一,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
7,16,Month,五月,六月,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
17,6,Month,六月,七月,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
247,1,Month,一月,五月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
267,17,Month,一月,五月,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
340,132,Week,星期二,星期一,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
55,48,Month,五月,四月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
66,74,Month,九月 ,八月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
119,22,Month,二月,四月,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
281,44,Month,八月,四月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
374,112,Week,星期二,星期四,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
182,15,Month,六月,九月 ,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
51,60,Month,六月,五月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
187,33,Month,六月,九月 ,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
351,152,Week,星期一,星期二,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
321,120,Week,星期三 ,星期四,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
364,98,Week,星期二,星期四,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
39,27,Month,五月,六月,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
241,3,Month,三月,七月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
