,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
257,29,Month,May,September ,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
5,1,Month,January,February ,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
23,23,Month,January,February ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
95,12,Month,February,April,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
128,60,Month,December,October ,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
55,48,Month,May,April,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
265,18,Month,February,June,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
413,112,Week,Tuesday,Friday,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
201,26,Month,August,November ,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
289,52,Month,August,April,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
194,32,Month,May,August,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
109,27,Month,July,September ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
249,8,Month,August,December,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
74,75,Month,October ,September ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
216,40,Month,July,April,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
252,16,Month,August,December,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
293,51,Month,July,March,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
405,98,Week,Tuesday,Friday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
280,45,Month,September ,May,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
14,21,Month,October ,November ,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
129,53,Month,May,March,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
429,141,Week,Saturday,Wednesday ,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
296,63,Month,November ,July,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
428,12,Week,Sunday,Thursday,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
251,6,Month,June,October ,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
375,122,Week,Friday,Sunday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
376,118,Week,Monday,Wednesday ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
383,134,Week,Friday,Wednesday ,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
421,126,Week,Friday,Tuesday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
341,136,Week,Saturday,Friday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
179,18,Month,September ,December,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
197,24,Month,June,September ,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
351,152,Week,Monday,Tuesday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
425,147,Week,Friday,Tuesday,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
65,55,Month,December,November ,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
243,5,Month,May,September ,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
276,35,Month,July,March,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
315,108,Week,Friday,Saturday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
173,16,Month,July,October ,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
163,78,Month,October ,August,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
96,3,Month,March,May,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
218,42,Month,September ,June,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
181,3,Month,March,June,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
171,8,Month,August,November ,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
403,106,Week,Wednesday ,Saturday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
215,43,Month,October ,July,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
295,57,Month,May,January,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
357,150,Week,Saturday,Friday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
371,114,Week,Thursday,Saturday,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
236,64,Month,April,January,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
235,56,Month,May,February,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
175,6,Month,June,September ,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
