No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_5.started,text_4.stopped,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5670020999387,219.5736784003675,219.5736784003675,219.5736784003675,space,34.25169939920306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.8461022004485,253.8461022004485,space,30.82830400019884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.74550599977374,284.74550599977374,space,10.2328150998801,295.05778039991856,296.0149314003065,296.0149314003065,296.0149314003065,300.63900130055845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.64860600046813,302.64627640042454,302.64627640042454,302.64627640042454,305.5286077000201,306.5328045003116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.5328045003116,307.5446428004652,307.5446428004652,307.5446428004652,309.1941357003525,310.19511750061065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.19511750061065,311.1934662004933,311.1934662004933,311.1934662004933,312.70960799977183,313.71761940047145,311.1934662004933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.71761940047145,314.72568599972874,314.72568599972874,314.72568599972874,317.05819910019636,318.05900810007006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.05900810007006,319.0575787005946,319.0575787005946,319.0575787005946,320.77375079970807,321.7776367003098,319.0575787005946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.7776367003098,322.7895835004747,322.7895835004747,322.7895835004747,323.6061704000458,324.6070379000157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.6070379000157,325.6220142999664,325.6220142999664,325.6220142999664,326.53855879977345,327.5382237005979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-10_14h51.42.577,ETproject_Chi_2023.1.1,2023.1.1,60.0628736516048,
