No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.23392389999935,91.24853979999898,91.24853979999898,space,7.340319900016766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.61324119998608,98.61324119998608,space,35.43119179998757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.10712060000515,134.10712060000515,space,8.385466300009284,142.56997750001028,143.5310357999988,143.5310357999988,143.5310357999988,148.53829549998045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.53291280003032,150.52896329999203,150.52896329999203,150.52896329999203,151.8951024999842,152.90331050002715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.90331050002715,153.91114879999077,153.91114879999077,153.91114879999077,154.79417300003115,155.7993303000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.7993303000112,156.8100671999855,156.8100671999855,156.8100671999855,157.61007370002335,158.61426459997892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.61426459997892,159.62576289998833,159.62576289998833,159.62576289998833,160.92559659999097,161.92971380002564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.92971380002564,162.94141060003312,162.94141060003312,162.94141060003312,164.2245292000007,165.23105230001966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.23105230001966,166.24039990000892,166.24039990000892,166.24039990000892,167.09019940003054,168.09376130002784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.09376130002784,169.10598500003107,169.10598500003107,169.10598500003107,170.17256490001455,171.17218900000444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.17218900000444,174.1710986000253,174.1710986000253,3.0147498000296764,178.18643400003202,178.18643400003202,space,10.714217100001406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
58,Month,六月,二月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.95159369998146,0.9995844999793917,189.96556390001206,190.03219779999927,190.83230700000422,190.932174400019,190.932174400019,190.932174400019,up,1,2.2239113999530673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
63,Month,十二月,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.196543500002,1.0109320000046864,194.19767860003049,194.28120329999365,195.08068190002814,195.1807069000206,195.1807069000206,195.1807069000206,down,1,1.327380200033076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
99,Week,星期三 ,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.54074120003497,1.010523299977649,197.54658179997932,197.63031550002052,198.42968920001294,198.52994310000213,198.52994310000213,198.52994310000213,left,1,1.2259830000111833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
120,Week,星期三 ,星期六,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,3,3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.79078610002762,1.0118343000067398,200.7955410000286,200.87908879999304,201.678904600034,201.77857520000543,201.77857520000543,201.77857520000543,right,0,1.5048043000278994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
12,Week,星期日,星期四,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.31571769999573,0.9990121999871917,204.32776090002153,204.41117029997986,205.21069540001918,205.3108919999795,205.3108919999795,205.3108919999795,up,1,1.5091325000394136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
150,Week,星期日,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,5,5,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.84709019999718,0.9990431999904104,207.85976140003186,207.94318230001954,208.74311390001094,208.843148200016,208.843148200016,208.843148200016,up,1,1.0560334000037983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
101,Week,星期五,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,6,6,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.94100360001903,0.9993018999812193,210.9421686999849,211.02552450000076,211.82527089997893,211.92531419999432,211.92531419999432,211.92531419999432,left,1,1.19902010000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
49,Month,七月,四月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,7,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.15514739998616,1.0114804999902844,214.1576567000011,214.2412392999977,215.04096190002747,215.14066959999036,215.14066959999036,215.14066959999036,left,1,1.7024507999885827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
150,Week,星期六,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,8,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.88213009998435,1.0116880999994464,217.88992839999264,217.97328979999293,218.77311680000275,218.87307259999216,218.87307259999216,218.87307259999216,up,1,0.8909741999814287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
139,Week,星期四,星期一,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.80146019998938,1.010616999992635,220.80557530000806,220.88892870000564,221.68887070001801,221.78879620000953,221.78879620000953,221.78879620000953,down,1,1.2637409000308253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
46,Month,四月,一月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,10,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.08034119999502,1.0143627999932505,225.0874569999869,225.17100109998137,225.97046240000054,226.07071629998973,226.07071629998973,226.07071629998973,left,1,1.3572361000115052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
125,Week,星期三 ,星期一,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.46721999999136,1.0160063999937847,228.4698545000283,228.55304860003525,229.35278700001072,229.45296349999262,229.45296349999262,229.45296349999262,right,1,2.343339000013657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
