No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
13,Month,February,March,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
3,Month,March,April,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
18,Month,July,August,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
5,Month,May,June,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
15,Month,April,May,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
1,Month,January,February ,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
20,Month,September ,October ,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
16,Month,May,June,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
9,Month,September ,October ,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
2,Month,February,March,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
4,Month,April,May,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
11,Month,November ,December,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
8,Month,August,September ,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
7,Month,July,August,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
21,Month,October ,November ,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
19,Month,August,September ,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
12,Month,August,February ,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
6,Month,June,July,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
10,Month,October ,November ,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
17,Month,June,July,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
22,Month,November ,December,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
14,Month,March,April,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
41,Month,August,September ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
23,Month,January,February ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
31,Month,September ,October ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
24,Month,February,March,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
43,Month,October ,November ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
29,Month,July,August,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
30,Month,August,September ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
33,Month,November ,December,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
42,Month,September ,October ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
25,Month,March,April,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
35,Month,February,March,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
32,Month,October ,November ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
39,Month,June,July,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
44,Month,November ,December,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
38,Month,May,June,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
40,Month,July,August,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
28,Month,June,July,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
27,Month,May,June,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
37,Month,April,May,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
36,Month,March,April,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
34,Month,January,February ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
26,Month,April,May,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
49,Month,June,May,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
50,Month,July,June,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
65,Month,November ,October ,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
53,Month,October ,September ,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
45,Month,February ,January,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
57,Month,March,February,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
51,Month,August,July,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
60,Month,June,May,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
59,Month,May,April,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
47,Month,April,March,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
62,Month,August,July,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
48,Month,May,April,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
54,Month,November ,October ,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
63,Month,September ,August,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
46,Month,March,February,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
58,Month,April,March,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
66,Month,December,November ,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
61,Month,July,June,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
52,Month,September ,August,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
64,Month,October ,September ,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
56,Month,February ,January,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
55,Month,December,November ,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
74,Month,September ,August,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
68,Month,March,February,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
88,Month,December,November ,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
80,Month,April,March,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
87,Month,November ,October ,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
84,Month,August,July,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
69,Month,April,March,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
82,Month,June,May,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
75,Month,October ,September ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
78,Month,February ,January,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
81,Month,May,April,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
79,Month,March,February,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
72,Month,July,June,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
71,Month,June,May,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
73,Month,August,July,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
67,Month,February ,January,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
83,Month,July,June,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
76,Month,November ,October ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
86,Month,October ,September ,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
70,Month,May,April,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
