,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
141,54,Month,June,April,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
156,69,Month,November ,September ,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
119,22,Month,February,April,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
248,15,Month,July,November ,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
337,127,Week,Thursday,Wednesday ,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
122,28,Month,August,October ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
230,63,Month,December,September ,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
115,38,Month,August,October ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
80,73,Month,August,July,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
30,42,Month,September ,October ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
264,25,Month,January,May,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
182,15,Month,June,September ,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
401,97,Week,Monday,Thursday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
81,67,Month,February ,January,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
217,49,Month,July,April,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
219,52,Month,October ,July,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
300,59,Month,July,March,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
149,77,Month,September ,July,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
176,1,Month,January,April,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
116,26,Month,June,August,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
191,34,Month,July,October ,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
321,120,Week,Wednesday ,Thursday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
155,65,Month,July,May,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
199,28,Month,January,April,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
108,35,Month,May,July,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
355,141,Week,Thursday,Wednesday ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
15,19,Month,August,September ,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
87,85,Month,September ,August,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
361,107,Week,Thursday,Saturday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
102,6,Month,June,August,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
37,40,Month,July,August,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
73,82,Month,June,May,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
253,10,Month,February,June,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
241,3,Month,March,July,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
139,58,Month,October ,August,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
313,102,Week,Saturday,Sunday,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
285,38,Month,October ,June,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
412,120,Week,Wednesday ,Saturday,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
39,27,Month,May,June,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
229,61,Month,October ,July,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
259,19,Month,March,July,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
227,67,Month,July,April,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
329,123,Week,Saturday,Sunday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
183,2,Month,February,May,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
393,142,Week,Saturday,Thursday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
323,116,Week,Saturday,Sunday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
21,14,Month,March,April,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
