,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
159,79,Month,十一月 ,九月 ,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
83,76,Month,十一月 ,十月 ,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
29,33,Month,十一月 ,十二月,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
296,63,Month,十一月 ,七月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
218,42,Month,九月 ,六月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
103,11,Month,一月,三月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
268,31,Month,七月,十一月 ,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
249,8,Month,八月,十二月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
353,149,Week,星期五,星期四,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
194,32,Month,五月,八月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
212,47,Month,五月,二月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
135,55,Month,七月,五月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
293,51,Month,七月,三月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
341,136,Week,星期六,星期五,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
193,30,Month,三月,六月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
248,15,Month,七月,十一月 ,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
136,43,Month,五月,三月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
61,61,Month,七月,六月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
285,38,Month,十月 ,六月,4,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
312,107,Week,星期四,星期五,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
36,38,Month,五月,六月,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
95,12,Month,二月,四月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
391,143,Week,星期日,星期五,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
133,47,Month,九月 ,七月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
236,64,Month,四月,一月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
295,57,Month,五月,一月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
139,58,Month,十月 ,八月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
277,36,Month,八月,四月,4,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
45,50,Month,七月,六月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
96,3,Month,三月,五月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
301,50,Month,六月,二月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
289,52,Month,八月,四月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
156,69,Month,十一月 ,九月 ,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
366,106,Week,星期三 ,星期五,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
406,107,Week,星期四,星期日,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
420,128,Week,星期日,星期四,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
58,46,Month,三月,二月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
284,47,Month,十一月 ,七月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
326,122,Week,星期五,星期六,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
273,43,Month,七月,三月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
375,122,Week,星期五,星期日,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
219,52,Month,十月 ,七月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
407,105,Week,星期二,星期五,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
376,118,Week,星期一,星期三 ,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
33,32,Month,十月 ,十一月 ,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
377,119,Week,星期二,星期四,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
67,68,Month,三月,二月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
