No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_5.started,text_4.stopped,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,fix.started,main_image_2.stopped,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.67045269999653,111.67987019941211,111.67987019941211,111.67987019941211,space,10.009222500026226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.71008139941841,121.71008139941841,space,25.490199699997902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.37399869970977,147.37399869970977,space,5.434136999770999,153.09289279952645,153.89897330012172,153.89897330012172,153.89897330012172,155.27721319999546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.28805099986494,157.26461039949208,157.26461039949208,157.26461039949208,159.28082429990172,160.28216109983623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.28216109983623,161.29673779942095,161.29673779942095,161.29673779942095,162.26318929996341,163.26507329940796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.26507329940796,164.27892639953643,164.27892639953643,164.27892639953643,165.56524570006877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5804546996951,167.5778375994414,167.5778375994414,167.5778375994414,168.9776385994628,169.98587589990348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.98587589990348,170.99349199980497,170.99349199980497,170.99349199980497,172.4764614002779,173.4772097002715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.4772097002715,174.47569619957358,174.47569619957358,174.47569619957358,175.49227599985898,176.49371139984578,174.47569619957358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.49371139984578,177.50806050002575,177.50806050002575,177.50806050002575,178.4245418999344,179.4241867000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
