No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.16712059998827,114.17579609999666,114.17579609999666,114.17579609999666,space,8.467441400003736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.67313589999685,122.67313589999685,space,43.69727760000387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.4393440999993,166.4393440999993,space,4.2840492999966955,170.80494859999453,171.75642959999095,171.75642959999095,171.75642959999095,176.76704069999687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.76289689999248,178.75434879999375,178.75434879999375,178.75434879999375,180.33716709999135,181.3447310999909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.3447310999909,182.35287940000126,182.35287940000126,182.35287940000126,183.55281879998802,184.55647519999184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.55647519999184,185.56855229999928,185.56855229999928,185.56855229999928,186.51844379999966,187.51926000000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.51926000000094,188.51763740000024,188.51763740000024,188.51763740000024,189.4174415000016,190.41820889999508,188.51763740000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.41820889999508,191.41666419999092,191.41666419999092,191.41666419999092,192.3164906999882,193.32020959998772,191.41666419999092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.32020959998772,194.3323931999912,194.3323931999912,194.3323931999912,196.29865019999852,197.29992140000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.29992140000104,198.31429650000064,198.31429650000064,198.31429650000064,199.7640348999994,200.7636574999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7636574999924,203.76258309998957,203.76258309998957,3.0147880999866175,208.76559089998773,208.76559089998773,space,2.0933301000040956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
107,Week,星期四,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.89877980000165,0.9991750000044703,211.9098692999978,211.97659310000017,212.77621050000016,212.87620659999084,212.87620659999084,212.87620659999084,right,1,0.9342405999923358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
120,Week,星期三 ,星期六,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.84765809999953,1.015570999996271,214.85884119999537,214.94215319999785,215.74192380000022,215.8419326000003,215.8419326000003,215.8419326000003,down,1,1.0174756000051275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.9184760999924,1.0146728000108851,217.92450929999177,217.9912304999889,218.79093959998863,218.89093969999522,218.89093969999522,218.89093969999522,down,1,1.1362548999895807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
24,Month,四月,六月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06226149998838,1.0146551000070758,221.07346309999411,221.15688029999728,221.95652849999897,222.05651709999074,222.05651709999074,222.05651709999074,up,1,0.9225314000068465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
6,Month,六月,十月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,0,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.01314849998744,1.0145864999940386,224.02252749999752,224.10589429999527,224.90558099999907,225.00559799998882,225.00559799998882,225.00559799998882,left,1,0.8050599999987753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
34,Month,七月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.8548252999899,1.0123447000078158,226.85498319999897,226.9381946999929,227.7379782999924,227.8380824999913,227.8380824999913,227.8380824999913,down,1,0.7498450999992201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
148,Week,星期六,星期三 ,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.62023499999486,1.0097190999949817,229.62071899999864,229.70398649999697,230.50374909999664,230.60375779999595,230.60375779999595,230.60375779999595,up,1,0.8305220000038389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2023-11-16_14h55.58.720,ETproject_Chi_2023.1.1,2023.1.1,59.850851677642055,
