No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.02076790004503,98.02850460004993,98.02850460004993,98.02850460004993,space,4.835008300025947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.89374020003015,102.89374020003015,space,50.906160399958026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.87312510004267,153.87312510004267,space,3.9101019999943674,157.86711770005058,158.82486580003751,158.82486580003751,158.82486580003751,160.49704600003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.51709800004028,162.50709270004882,162.50709270004882,162.50709270004882,163.80676360003417,164.81732480000937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.81732480000937,165.82258380000712,165.82258380000712,165.82258380000712,167.17232760001207,168.17379700002493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.17379700002493,169.18807760003256,169.18807760003256,169.18807760003256,170.0880399000016,171.0944193000323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0944193000323,172.10383820004063,172.10383820004063,172.10383820004063,173.13709510001354,174.14120270003332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.14120270003332,175.15271750005195,175.15271750005195,175.15271750005195,176.2533332000021,177.25985650002258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",,,,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.25985650002258,178.2685621000128,178.2685621000128,178.2685621000128,179.2017540000379,180.20307109999703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",,,,,,,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.20307109999703,181.21751230000518,181.21751230000518,181.21751230000518,182.36748600000283,183.36692080000648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.36692080000648,186.36591930000577,186.36591930000577,3.0149623000179417,190.3814356000512,190.3814356000512,space,2.7308126999996603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
49,Month,七月,四月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.15190950001124,0.9992289000074379,194.16308680002112,194.22985070000868,195.02972000004956,195.12960100005148,195.12960100005148,195.12960100005148,left,1,1.494561200030148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.65387660003034,1.0151191999902949,197.66209500003606,197.7455947000417,198.54520040005445,198.64519690000452,198.64519690000452,198.64519690000452,right,1,1.0422127999481745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
127,Week,星期五,星期三 ,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.72505590005312,1.0156185000087135,200.72784750000574,200.81111360003706,201.6107980000088,201.7108608999988,201.7108608999988,201.7108608999988,right,1,0.904792900022585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2023-11-19_13h15.05.447,ETproject_Chi_2023.1.1,2023.1.1,59.98098601532278,
