No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,break_4.started,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,break_4.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019669041968882084,0.027860083035193384,2.005407207994722,2.0054250420071185,2.011195083032362,2.011195083032362,3.7440085830166936,space,1.7082154169911519,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.744049667031504,3.751088749966584,3.751088749966584,4.00596450001467,space,0.24807433399837464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,4.228763416991569,,,,,,,,,,,,,,,,,,,4.00803733302746,4.059686957974918,4.059686957974918,4.155208292067982,space,0.09136883297469467,None,4.189898167038336,4.228763416991569,5.155945374979638,5.155996375018731,5.180909999995492,5.180909999995492,5.180909999995492,6.479240042041056,6.479257749975659,6.579452625010163,7.488998666987754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48918562498875,7.48960262502078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4896797919645905,7.49681712500751,7.49681712500751,9.6457267079968,space,2.1442101671127602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,9.710980042000301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.673950499971397,9.710980042000301,10.64802399999462,10.70560129196383,11.146065708016977,11.146065708016977,11.146065708016977,11.146065708016977,12.03922216698993,left,0,0.8843614590587094,None,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,12.083700707997195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.040040374966338,12.083700707997195,13.03800679196138,13.077813375042751,13.529935125028715,13.529935125028715,13.529935125028715,13.529935125028715,14.088773541967385,left,0,0.5493810829939321,None,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,14.128214749973267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.089510916965082,14.128214749973267,15.080706708016805,15.121070791967213,15.580908917007037,15.580908917007037,15.580908917007037,15.580908917007037,16.1399340829812,left,0,0.5521702090045437,None,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",3,congruent,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,16.180562083027326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.140561292064376,16.180562083027326,17.13830570806749,17.17737529205624,17.638447875040583,17.638447875040583,17.638447875040583,17.626413083053194,18.089002749999054,left,0,0.44593283405993134,None,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
20,Month,四月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",4,congruent,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,18.12578429200221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.089578874991275,18.12578429200221,19.081077708047815,19.122494500014,19.579301833058707,19.579301833058707,19.579301833058707,19.579301833058707,19.81211533304304,left,0,0.2290074999909848,None,,,,,,,,,,,,,,111,001,,,2023-11-06_13h29.39.618,ETchi,2023.2.3,None,2023-11-06 13h29.49.497954 -0500,
