No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,text_5.stopped,main_image_2.started,fix.started,etRecord.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,107.90323069999977,109.9082870000002,109.9082870000002,109.9082870000002,space,1.3796947999999247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.3084087000002,111.3084087000002,space,0.764059399999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,112.10853499999985,112.10853499999985,space,0.49151480000000447,None,112.66560990000016,113.64139040000009,113.64139040000009,113.64139040000009,115.2412545000002,116.24753049999981,,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,116.24753049999981,117.25800949999984,117.25800949999984,117.25800949999984,118.29153050000014,119.29393429999982,,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,119.29393429999982,120.3080759999998,120.3080759999998,120.3080759999998,120.95818680000002,121.95928520000007,,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,121.95928520000007,122.95820719999983,122.95820719999983,122.95820719999983,123.9249964999999,124.92592349999995,122.95820719999983,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,124.92592349999995,125.92472319999979,125.92472319999979,125.92472319999979,126.6581540000002,127.65858919999982,125.92472319999979,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,127.65858919999982,128.65808650000008,128.65808650000008,128.65808650000008,129.89159659999996,130.89265479999995,128.65808650000008,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,130.89265479999995,131.90804979999984,131.90804979999984,131.90804979999984,134.00818690000006,135.00854059999983,,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,135.00854059999983,136.00819779999983,136.00819779999983,136.00819779999983,137.5415637000001,138.5415380999998,136.00819779999983,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.5415380999998,138.5415380999998,space,1.274428700000044,None,,,,,,,,,,,,,,,,,,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
116,Week,星期六,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.8415519,141.84148779999987,141.84148779999987,2.015244000000166,145.8414561999998,145.8693145000002,146.84170069999982,1.0154418000001897,146.87484989999984,147.34144490000017,147.34144490000017,147.34144490000017,147.34144490000017,up,1,0.5709760999998252,None,111,001,2023-11-06_19h43.20.806,ETproject_Chi_2023.1.1,2023.1.3,59.99599226775664,
