No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.04170629207510501,0.0572082920698449,2.014224542072043,2.0142360840691254,2.031917667016387,2.031917667016387,3.634950084029697,space,1.5835513329366222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6349951670272276,3.641833584057167,3.641833584057167,5.016669917036779,space,1.361614500056021,None,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",0,0,0,0,0,0,0,3,6.075516500044614,,,,,,,,,,,,,,,,,,,5.01868670899421,5.070450125029311,5.070450125029311,5.998311209026724,space,0.9256083749933168,None,6.035790874972008,6.075516500044614,7.0142737090354785,7.014283708995208,7.0307649170281366,7.0307649170281366,7.0307649170281366,9.880999083979987,9.881012875004672,9.971912999986671,10.882018291973509,,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",0,0,0,0,0,1,1,1,10.915278417058289,,,,,,,,,,,,,,,,,,,,,,,,,,10.882272958988324,10.915278417058289,11.881479833973572,11.881488000042737,11.896604167064652,11.896604167064652,11.896604167064652,13.282233083969913,13.282245084061287,13.301237334031612,14.297778750071302,,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",0,0,0,0,0,2,2,2,14.332182209007442,,,,,,,,,,,,,,,,,,,,,,,,,,14.298028124962002,14.332182209007442,15.296428333967924,15.296436625067145,15.307096417061985,15.307096417061985,15.307096417061985,17.049428917001933,17.04944170906674,17.06342633406166,18.048047499964014,18.080299459048547,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",0,0,0,0,0,3,3,7,18.080299459048547,,,,,,,,,,,,,,,,,,,,,,,,,,18.048295959015377,18.080299459048547,19.0520376249915,19.05205095896963,19.063629125012085,19.063629125012085,19.063629125012085,21.11630245903507,21.116315459017642,21.131146542029455,22.11504095897544,22.14524750004057,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",0,0,0,0,0,4,4,5,22.14524750004057,,,,,,,,,,,,,,,,,,,,,,,,,,22.115296542062424,22.14524750004057,23.13102924998384,23.13103799999226,23.147180167026818,23.147180167026818,23.147180167026818,24.249178208992817,24.24919108406175,24.263350208988413,25.248634375049733,25.28124329203274,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",0,0,0,0,0,5,5,0,25.28124329203274,,,,,,,,,,,,,,,,,,,,,,,,,,25.24888325005304,25.28124329203274,26.264536959002726,26.26454604207538,26.281734916963615,26.281734916963615,26.281734916963615,27.397677959059365,27.397692042053677,27.41246012505144,28.39869575004559,,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",0,0,0,0,0,6,6,4,28.4274520840263,,,,,,,,,,,,,,,,,,,,,,,,,,28.39895050006453,28.4274520840263,29.41389408404939,29.413902750005946,29.42894274997525,29.42894274997525,29.42894274997525,30.647499500075355,30.647513917065226,30.662227374967188,31.647146917064674,31.68223920906894,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",0,0,0,0,0,7,7,6,31.68223920906894,,,,,,,,,,,,,,,,,,,,,,,,,,31.64739575004205,31.68223920906894,32.663711167057045,32.663720041979104,32.680322041967884,32.680322041967884,32.680322041967884,33.932604292058386,33.93261920905206,33.946700584026985,34.93173137505073,34.95127666706685,,,33,001,,,2023-11-06_00h38.42.296,ETchi,2023.2.3,59.715960906030496,2023-11-06 00h39.00.729314 -0500,
