No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,main_early.started,ct_resp.started,main_late.started,main_image_2.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,main_early.stopped,ct_resp.stopped,main_late.stopped,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018650792073458433,0.03345337510108948,2.005617167102173,2.005629291990772,2.0115934170316905,2.0115934170316905,3.0437170420773327,space,1.0127288749208674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0437453750055283,3.0503610000014305,3.0503610000014305,3.3781620000954717,space,0.32626250002067536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,0,0,6,,,,,3.865675709093921,,,,,,,,,,,,,,,,,,,3.379191500018351,3.432435917085968,3.432435917085968,3.789926083991304,space,0.3560172920115292,None,3.8270044170785695,3.865675709093921,4.795603959006257,4.795636916998774,4.815351709024981,4.815351709024981,4.815351709024981,5.656194792012684,5.656218875083141,5.737131084082648,6.662278917036019,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,1,1,5,,,,,6.704374292050488,,,,,,,,,,,,,,,,,,,,,,,,,,6.662813709001057,6.704374292050488,7.663012792007066,7.6630445420742035,7.681204708991572,7.681204708991572,7.681204708991572,8.639132625074126,8.639145000022836,8.646599334082566,9.639224542072043,9.676427667029202,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,2,2,2,,,,,9.676427667029202,,,,,,,,,,,,,,,,,,,,,,,,,,9.639777709031478,9.676427667029202,10.644862500019372,10.644881584099494,10.660920166992582,10.660920166992582,10.660920166992582,11.661315000033937,11.661337625002488,11.67098029202316,12.656712250085548,12.69207475008443,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,3,3,0,,,,,12.69207475008443,,,,,,,,,,,,,,,,,,,,,,,,,,12.657230084063485,12.69207475008443,13.661446209065616,13.661459917086177,13.675052417092957,13.675052417092957,13.675052417092957,14.389528584084474,14.389543959056027,14.396835125051439,15.389229000080377,15.427930084057152,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,4,4,3,,,,,15.427930084057152,,,,,,,,,,,,,,,,,,,,,,,,,,15.389622542075813,15.427930084057152,16.394739417009987,16.394760792027228,16.411685250001028,16.411685250001028,16.411685250001028,18.462229125085287,18.462251875083894,18.470847374992445,19.455931875039823,19.49219866702333,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,5,5,4,,,,,19.49219866702333,,,,,,,,,,,,,,,,,,,,,,,,,,19.456440959009342,19.49219866702333,20.472081792075187,20.47210170899052,20.485400334000587,20.485400334000587,20.485400334000587,21.36120591708459,21.361221084021963,21.370935709099285,22.35571879206691,22.392892750096507,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,6,6,1,,,,,22.392892750096507,,,,,,,,,,,,,,,,,,,,,,,,,,22.356015667086467,22.392892750096507,23.366632084012963,23.366660166997463,23.385319416993298,23.385319416993298,23.385319416993298,24.955950667033903,24.955973500036635,24.963311000028625,25.955418292083777,25.991335000027902,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,7,7,7,,,,,25.991335000027902,,,,,,,,,,,,,,,,,,,,,,,,,,25.955676500103436,25.991335000027902,26.96288825001102,26.962914208997972,26.980121542001143,26.980121542001143,26.980121542001143,28.02195250010118,28.0219752920093,28.029024625080638,29.02217708399985,29.02873558399733,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.02247566706501,29.022803917061538,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.022860459052026,29.02873558399733,29.02873558399733,30.09421537502203,space,1.061867625103332,None,,,,,,,,,,,,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,0,0,0,0,30.165823959046975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.129559209104627,30.165823959046975,31.088232834008522,31.088232834008522,31.088232834008522,31.16012583405245,33.1891669590259,down,1,2.097204584046267,None,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,0,1,1,1,33.22806604206562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.18990425008815,33.22806604206562,34.18843329208903,34.18843329208903,34.18843329208903,34.220572917023674,35.89431129209697,down,1,1.702451708028093,None,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,0,2,2,2,35.933062458992936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.894973334041424,35.933062458992936,36.8889202499995,36.8889202499995,36.8889202499995,36.92931770905852,41.53913083404768,up,1,4.645138542051427,None,,,,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",3,congruent,,,,,,,,,0,3,3,3,41.58053841709625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.53981516708154,41.58053841709625,42.540375792072155,42.540375792072155,42.540375792072155,42.57623466709629,47.52719637507107,None,0,,,47.56876445899252,47.56876445899252,47.56876445899252,33,001,,,2023-11-06_00h41.36.529,ETchi,2023.2.3,None,2023-11-06 00h41.50.963496 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,47.56876445899252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.527562500094064,47.56876445899252,48.54095108399633,48.54095108399633,48.54095108399633,48.561957792029716,,,,,,,,,,,,,,,,,,
