No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,Image,Qustion,Response,CorrAns,Path,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,break_4.started,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05798645899631083,0.07720770896412432,2.00145766697824,2.001475583994761,2.0150520839961246,2.0150520839961246,2.4371725419769064,space,0.3952115409774706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43721254193224,2.4440424169879407,2.4440424169879407,2.56485674995929,space,0.11727745900861919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,2.7816073339199647,,,,,,,,,,,,,,,,,,,2.5663359590107575,2.61884079198353,2.61884079198353,2.697836917010136,space,0.06801637506578118,None,2.7341382920276374,2.7816073339199647,3.704419458983466,3.7044523749500513,3.7255020840093493,3.7255020840093493,3.7255020840093493,4.838112249970436,4.838128709001467,4.940255374996923,5.848424499970861,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,5.8906819589901716,,,,,,,,,,,,,,,,,,,,,,,,,,5.848809959017672,5.8906819589901716,6.848063666955568,6.848082999931648,6.863484999979846,6.863484999979846,6.863484999979846,8.515305708977394,8.515324209001847,8.52583295898512,9.515014583943412,9.550351292011328,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,9.550351292011328,,,,,,,,,,,,,,,,,,,,,,,,,,9.515386958955787,9.550351292011328,10.521652917028405,10.521676625008695,10.534429833991453,10.534429833991453,10.534429833991453,12.038198916940019,12.038218374946155,12.057755999965593,13.047790583921596,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,13.084203999955207,,,,,,,,,,,,,,,,,,,,,,,,,,13.048191208974458,13.084203999955207,14.047892709029838,14.047934249974787,14.064934249967337,14.064934249967337,14.064934249967337,15.66503187501803,15.665051416959614,15.678305041976273,16.66522579197772,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,16.702995833940804,,,,,,,,,,,,,,,,,,,,,,,,,,16.665691250003874,16.702995833940804,17.67240566702094,17.672437499975786,17.692876250017434,17.692876250017434,17.692876250017434,19.063984124921262,19.063999374979176,19.074550208984874,20.065110791940242,,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,20.1066102089826,,,,,,,,,,,,,,,,,,,,,,,,,,20.065553541993722,20.1066102089826,21.0648272089893,21.06484616699163,21.078356041922234,21.078356041922234,21.078356041922234,21.921632458921522,21.921651583979838,21.936348458984867,22.92022241698578,22.96155445894692,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,22.96155445894692,,,,,,,,,,,,,,,,,,,,,,,,,,22.92054666695185,22.96155445894692,23.931746958987787,23.9317627500277,23.9438405840192,23.9438405840192,23.9438405840192,25.13164987496566,25.131668374990113,25.146459458977915,26.131723167025484,26.167257499997504,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,26.167257499997504,,,,,,,,,,,,,,,,,,,,,,,,,,26.132227167021483,26.167257499997504,27.13792495895177,27.137957124970853,27.151567958993837,27.151567958993837,27.151567958993837,29.20451070892159,29.204525750014,29.21713433403056,30.203191624954343,30.2145875840215,,,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.20333962503355,30.203580416971818,,,,,,,,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.203624041983858,30.2145875840215,30.2145875840215,33.948345083976164,space,3.7237994159804657,None,,,,,,,,,,,,,,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
142,Week,星期五,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,0,0,0,0,,,,,,,,,,34.02101191692054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9816508339718,34.02101191692054,34.94790358399041,35.013964666984975,35.437345291953534,35.437345291953534,35.437345291953534,35.437345291953534,35.664980249945074,left,0,0.21699300000909716,None,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,incongruent,,,,,,,,,0,1,1,1,,,,,,,,,,35.70458449993748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.66583750001155,35.70458449993748,36.65577733400278,36.69733545894269,37.16429783392232,37.16429783392232,37.16429783392232,37.151751124998555,38.103941374924034,left,0,0.9346212500240654,None,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",1,congruent,,,,,,,,,0,2,2,2,,,,,,,,,,38.142954709008336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.104457334033214,38.142954709008336,39.09677441697568,39.136143833980896,39.604525584029034,39.604525584029034,39.604525584029034,39.58424516697414,40.198302958975546,right,0,0.5868407499510795,None,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",3,congruent,,,,,,,,,0,3,3,3,,,,,,,,,,40.238581334007904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.19891000003554,40.238581334007904,41.1967729999451,41.231139416922815,41.68754370894749,41.68754370894749,41.68754370894749,41.68754370894749,42.09831887495238,down,0,0.4043362910160795,None,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
20,Month,四月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",4,congruent,,,,,,,,,0,4,4,4,,,,,,,,,,42.13645574997645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0989094999386,42.13645574997645,43.09666558401659,43.13900708395522,43.58839708392043,43.58839708392043,43.58839708392043,43.58839708392043,44.8740025840234,down,0,1.2763717910274863,None,,33,001,,,2023-11-06_13h11.28.098,ETchi,2023.2.3,None,2023-11-06 13h11.39.040065 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88775587501004,,,,,,,,,,
