No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,Image,Qustion,Response,CorrAns,Path,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,fix.stopped,main_early.started,ct_resp.started,main_late.started,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,break_4.started,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06280879094265401,0.08137562498450279,2.012630832963623,2.0126417499268427,2.0273644159315154,2.0273644159315154,2.9246282499516383,space,0.8646900000749156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.924661707947962,2.9310474999947473,2.9310474999947473,3.3443030830239877,space,0.40394016599748284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,3.664528458029963,,,,,,,,,,,,,,,,,,,3.346431375015527,3.398648540955037,3.398648540955037,3.583042124984786,space,0.18139745807275176,None,3.6199020409258083,3.664528458029963,4.583639624994248,4.583668999955989,4.6027186249848455,4.6027186249848455,4.6027186249848455,7.201719915959984,7.201736874994822,7.2950736249331385,8.21081795799546,,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,8.24715529102832,,,,,,,,,,,,,,,,,,,,,,,,,,8.211335457977839,8.24715529102832,9.210607875022106,9.210629499983042,9.229216790990904,9.229216790990904,9.229216790990904,10.577920665964484,10.577938874950632,10.587259624968283,11.577964165946469,11.617336665978655,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,11.617336665978655,,,,,,,,,,,,,,,,,,,,,,,,,,11.578355332952924,11.617336665978655,12.5825783329783,12.582613665959798,12.600434124935418,12.600434124935418,12.600434124935418,14.883863457944244,14.88388350000605,14.89242970792111,15.877569666015916,15.91547616594471,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,15.91547616594471,,,,,,,,,,,,,,,,,,,,,,,,,,15.878094165935181,15.91547616594471,16.89377812494058,16.893798957928084,16.9075769999763,16.9075769999763,16.9075769999763,17.63282399997115,17.632838040939532,17.6423781249905,18.62729020800907,18.664016040973365,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,18.664016040973365,,,,,,,,,,,,,,,,,,,,,,,,,,18.627690291032195,18.664016040973365,19.633426249958575,19.633455790928565,19.652365915942937,19.652365915942937,19.652365915942937,21.144581540953368,21.14459966600407,21.14979316596873,22.14475554099772,22.18047620798461,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,22.18047620798461,,,,,,,,,,,,,,,,,,,,,,,,,,22.145218416000716,22.18047620798461,23.149986000033095,23.15000812499784,23.16428595792968,23.16428595792968,23.16428595792968,24.29465470800642,24.294678290956654,24.302502374979667,25.2941519159358,25.33119924995117,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,25.33119924995117,,,,,,,,,,,,,,,,,,,,,,,,,,25.29452004097402,25.33119924995117,26.300025249947794,26.300053291022778,26.31681991601363,26.31681991601363,26.31681991601363,27.544198999996297,27.544215707923286,27.552050124970265,28.5441886249464,28.58138158300426,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,28.58138158300426,,,,,,,,,,,,,,,,,,,,,,,,,,28.544643166009337,28.58138158300426,29.550738999969326,29.550770250032656,29.566383790923283,29.566383790923283,29.566383790923283,31.14926195796579,31.149276457959786,31.159534625010565,32.144081000005826,32.15174916596152,,,,,,,,,,,,,,,,,,,,,,,,6666,001,,,2023-11-06_13h26.35.639,ETchi,2023.2.3,None,2023-11-06 13h26.47.454738 -0500,
