No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,Image,Qustion,Response,CorrAns,Path,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,main_early.stopped,ct_resp.stopped,main_late.stopped,break_4.started,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04414699994958937,0.05636304197832942,2.003875166992657,2.0038956670323387,2.013349249958992,2.013349249958992,5.84412083402276,space,3.7996645419625565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8441635420313105,5.851159458979964,5.851159458979964,6.037021792028099,space,0.18048641690984368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,6.333004749962129,,,,,,,,,,,,,,,,,,,6.038744083954953,6.092215458978899,6.092215458978899,6.252324917004444,space,0.1564452500315383,None,6.292196374968626,6.333004749962129,7.264160917024128,7.264187874970958,7.286112749949098,7.286112749949098,7.286112749949098,12.264351499965414,12.264362709014677,12.286361458944157,13.264342749956995,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,13.304038250003941,,,,,,,,,,,,,,,,,,,,,,,,,,13.264687958988361,13.304038250003941,14.255251083988696,14.255272833979689,14.275805708952248,14.275805708952248,14.275805708952248,15.56997275003232,15.570012124953791,15.674455708940513,16.570607458939776,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,16.609253042028286,,,,,,,,,,,,,,,,,,,,,,,,,,16.571097624953836,16.609253042028286,17.570516375009902,17.570542708970606,17.588168749934994,17.588168749934994,17.588168749934994,19.86465862498153,19.864677499979734,19.881550499936566,20.86506224994082,20.902612459030934,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,20.902612459030934,,,,,,,,,,,,,,,,,,,,,,,,,,20.865523458924145,20.902612459030934,21.868999624974094,21.86902566696517,21.88337229192257,21.88337229192257,21.88337229192257,23.254580458975397,23.254604166955687,23.268876333953813,24.254672874929383,24.289366833982058,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,24.289366833982058,,,,,,,,,,,,,,,,,,,,,,,,,,24.255084958975203,24.289366833982058,25.2641085840296,25.264132583979517,25.278573999996297,25.278573999996297,25.278573999996297,26.32105208397843,26.32107166701462,26.335656916955486,27.321464541950263,27.357856416958384,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,27.357856416958384,,,,,,,,,,,,,,,,,,,,,,,,,,27.321974624996074,27.357856416958384,28.330515416921116,28.3305429170141,28.344769916962832,28.344769916962832,28.344769916962832,29.29745287494734,29.297469416982494,29.31057566695381,30.29778595897369,30.335684375022538,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,30.335684375022538,,,,,,,,,,,,,,,,,,,,,,,,,,30.298228541971184,30.335684375022538,31.30413379194215,31.304166166926734,31.31798399996478,31.31798399996478,31.31798399996478,32.10407762497198,32.104094584006816,32.11853158392478,33.11439887492452,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,33.15080883400515,,,,,,,,,,,,,,,,,,,,,,,,,,33.114944458939135,33.15080883400515,34.112920708954334,34.11294849996921,34.12148437497672,34.12148437497672,34.12148437497672,35.13530841702595,35.13533291697968,35.14572899998166,36.129872584016994,36.136071124929,,,,,,,,,,,,,,,,,,,,,,,,,,,666,001,,,2023-11-06_13h17.27.313,ETchi,2023.2.3,None,2023-11-06 13h17.37.789167 -0500,
