No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,Break1.thisRepN,Break1.thisTrialN,Break1.thisN,Break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,Intro1.started,intro_1.started,Intro1.stopped,Intro2.started,intro_2.started,intro2_resp.started,Intro2.stopped,intro2_resp.keys,intro2_resp.rt,intro2_resp.duration,Intro3.started,Intro_3.started,intro3_resp.started,Intro3.stopped,intro3_resp.keys,intro3_resp.rt,intro3_resp.duration,Prac_intro.started,pracintro.started,pracintro_resp.started,Prac_intro.stopped,pracintro_resp.keys,pracintro_resp.rt,pracintro_resp.duration,practrial.started,image.started,practrial.stopped,solution.started,early.started,RESP.started,late.started,solution.stopped,feedback.started,pracfeedback.started,feedback.stopped,pracfeedback.stopped,Prac_check.started,Prac_check.stopped,intro5.started,intro_5.started,intro5_resp.started,intro5.stopped,intro5_resp.keys,intro5_resp.rt,intro5_resp.duration,blocks.started,main_image_2.started,fix.started,main_image_2.stopped,main_early.started,ct_resp.started,main_late.started,fix.stopped,blocks.stopped,ct_resp.keys,ct_resp.corr,ct_resp.rt,ct_resp.duration,break_4.started,fengjing.started,text.started,key_resp.started,fengjing.stopped,break_4.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,gender,age,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052682625013403594,0.06882349995430559,2.0052186249522492,2.0052350000478327,2.012578250025399,2.012578250025399,2.23457624996081,space,0.1880412909667939,0.032661208999343216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2346138330176473,2.2414647500263527,2.2414647500263527,2.3715137919643894,space,0.12070158298593014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
3,practice,星期一,星期二,congruent,Vert,early,up,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,2.6149906249484047,,,,,,,,,,,,,,,,,,,2.373071208014153,2.425680582993664,2.425680582993664,2.5384770419914275,space,0.10958891699556261,None,2.5749124579597265,2.6149906249484047,3.544867292046547,3.544900916982442,3.565708916983567,3.565708916983567,3.565708916983567,4.545186499948613,4.545203333022073,4.650781124946661,5.555553458048962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
5,practice,星期二,星期一,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,5.5909602920291945,,,,,,,,,,,,,,,,,,,,,,,,,,5.555893625016324,5.5909602920291945,6.55513258301653,6.55516508303117,6.571568957995623,6.571568957995623,6.571568957995623,7.212323207990266,7.212342333048582,7.238040541997179,8.22238912503235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
7,practice,星期三 ,星期二,incongruent,Vert,early,down,image/Chi_early.png,"[0, 0.3]","[0, -0.3]",,,,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,8.258108041947708,,,,,,,,,,,,,,,,,,,,,,,,,,8.22283604205586,8.258108041947708,9.221913791960105,9.221937207970768,9.241147499997169,9.241147499997169,9.241147499997169,10.03927366703283,10.039292500005104,10.048650500015356,11.03894624998793,11.075735167018138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
8,practice,星期六,星期五,incongruent,Vert,late,up,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,11.075735167018138,,,,,,,,,,,,,,,,,,,,,,,,,,11.039339417009614,11.075735167018138,12.04530550003983,12.045332749956287,12.062424291973002,12.062424291973002,12.062424291973002,13.361449541989714,13.361466167028993,13.37034170795232,14.355632583028637,14.39478712505661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
2,practice,星期五,星期六,congruent,Hori,late,right,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,14.39478712505661,,,,,,,,,,,,,,,,,,,,,,,,,,14.356076500029303,14.39478712505661,15.372221583034843,15.372247791965492,15.386076958035119,15.386076958035119,15.386076958035119,17.179023667005822,17.179046208038926,17.187131833052263,18.17224800004624,18.208042875048704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
4,practice,星期日,星期一,congruent,Vert,late,down,image/Chi_late.png,"[0, 0.3]","[0, -0.3]",,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,18.208042875048704,,,,,,,,,,,,,,,,,,,,,,,,,,18.172753166989423,18.208042875048704,19.188312000012957,19.18833158304915,19.202373208012432,19.202373208012432,19.202373208012432,20.28886804205831,20.288882875000127,20.29619979194831,21.28859775001183,21.3246528749587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
1,practice,星期三 ,星期四,congruent,Hori,early,left,image/Chi_early.png,"[-0.3, 0]","[0.3, 0]",,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,21.3246528749587,,,,,,,,,,,,,,,,,,,,,,,,,,21.289115666993894,21.3246528749587,22.29509783303365,22.295128333033063,22.313556249951944,22.313556249951944,22.313556249951944,23.405496875056997,23.405512416968122,23.41292308305856,24.405156458029523,24.441221832996234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
6,practice,星期四,星期三 ,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3, 0]","[0.3, 0]",,,,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,24.441221832996234,,,,,,,,,,,,,,,,,,,,,,,,,,24.40553208300844,24.441221832996234,25.41153804201167,25.41157104203012,25.427924250019714,25.427924250019714,25.427924250019714,26.68924166704528,26.689259417005815,26.696773207979277,27.688141208025627,27.695132458000444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,001,,,2023-11-06_13h19.15.598,ETchi,2023.2.3,None,2023-11-06 13h19.27.872020 -0500,
